Title,Price,Sold,Reviews,Condition,Brand,Power Source,Type,Heating System,Mounting Location,Colour,Material,Number of Heat Settings,Control Style,Model,Voltage,Features,Energy Efficiency Rating,Power,Heating Element Format,Heating Element Material,Annual Fuel Utilization Efficiency (AFUE),Operating Sound Rating,BTU Heating Rating,Area Covered,Item Width,MPN,Energy Efficiency Ratio (EER),Item Depth,Item Length,Tank Capacity,EC Range,Item Height,Item Dimensions,Colormap,Product Type,EAN,UPC,Color,Timer Control,Refrigerant,Year Manufactured,Smart Home Compatibility,Air Direction,Cable Length,Current Rating,Tonnage,Smart Home Protocol,Location,Assembled Product Dimensions (L x W x H),Manufacturer Part Number,Assembled Product Weight,Manufacturer,ISBN,Country/Region of Manufacture,Power (W),Unit Type,Design,Voltage Supply,Custom Bundle,Energy Star,Manufacturer Warranty,Product Weight (lb),Baseboard Heating Type,Hydronic,Product Width (in),Product Height (in),Product Length (in),Power/Fuel Type,Thermostat,Heating Product Type,Wattage (watts),Voltage (volts),Heat rating (BTU/hour),Product Depth (in),Heating Technology Type,Vented,Certifications and Listings,Bundle Listing,Part/Accessory Type,Style,Heater Style,Area Heated (Sq Ft),Heater Controls,Room Size,Heater Type,Amperage (amps),Voice Control Hub Required,Color Family,Portable Heater Safety Features,Cord Length (in),Indoor/Outdoor,Remote Access,Portable Heater Features,Smart Home,Requires Hub?,Works With,Power Options,Size,Heating Method,Item Dimensions LxWxH,Heat Output,Style Name,Power Type,Recommended Location,Handling Time,Shipping,Satisfaction,Customer Service,International Shipping,Returns,Note,Hanger Type,Number of Bars,Heating Wattage,Length,Width,Height,SKU,Item model number,Warranty Description,Assembly Required,Product Dimensions,Country of Origin,Batteries Required?,Item Weight,Number of Pieces,Included Components,Model No.,Wattage,Battery Size,Depth,Number of Batteries,Battery Life,Motor Type,Battery Included,Bundle Description,Weight,Battery Capacity,UL Listed,Energy Rating,SHIPPING,RETURN,ITEM LOCATION,International buyers,New Title,Prop65_fl,Prop65Warning,Manufacturer Color,Recommended Environment,Resistance Properties,ItemWidth,ItemLength,ItemHeight,item_width,item_length,Fuel Type,Room,Suitable For,Watts,Binding,Warranty,Studio,Publisher,ProductTypeName,PackageQuantity,NumberOfItems,Label,ProductGroup,750 Watts,1500 Watts,Living Room Safe,Bedroom Safe,Stage,Approved,Mobile Home Safe,frequency,state limitations,Number of Cool Speeds,Price,USA Seller,Product use,Customer service,Limited time offer,Shipping Exclusions,manufacturer_part_number,Pack Size,Fit,Quality,Tax,Heating Element Type,Cord Length,Plug Type,Heating BTU,Watt,Dimension,Item Weight Major,package_length,PartNumber,Platform,PackageHeight,PackageLength,PackageWidth,PackageWeight,ItemWeight,Package Condition,Package Contents,Cosmetic Condition,Functionality Check I,Functionality Check II,Second eBay Category,Set Includes,Gift
Dr. Heater Dr2181500w Greenhouse Garage Workshop Infrared Heater 1500watt,99.99, ,"['The price is higher, but these operate reliably for 3-5 years. The cheaper brands frequently failed in less than a year, and normally when they were needed the most.', 'Works great. Kept a 120 square foot greenhouse warm in the Winter, but it does have parts that rust when it gets wet.', 'This is the second one that I have purchased to use in a greenhouse it works very well.', ""I love the heater just don't like like the fact that here are at least 3 different prices for the same heater"", 'works as advertised.', 'works good']","Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",Dr. Heater,"Fan, Electric",,Infrared,Garage,,Steel,1,,Dr. Infrared Heater DR-218-1500,120 V,Outdoor,,,,,,,,,10 in,"DR2181500W, DR218-1500W",,,,,,,,,,,0609613132384,Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120V / 1500W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbon Infrared Outdoor Heater Patio Backyard Garage Deck Black - No Remote,98.99, ,"[""Very easy to install (I'm 73), Instructions are clear and simple. My wife loves the remote controll feature. Heats well."", 'The heater works well but has limited range, one side of your body receives warmth and the other not. Two heaters would do a better job.', 'Not  better than expected The installation was exceptional. The sliding screws made the job a snap.', 'Nice heat with three settings. Wish it had a fan for those settings. But still good.', 'Great heater with remote. You have to be close to feel the effects but worth the money ', 'Five ✨ ⭐️ 🌟 💫 ✨’s!! I highly recommend this heater, as it is a good 👍 😊 😌 value as well as good 😌 😊 👍 quality!!!']","Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",Dr. Heater,Electric,Infrared,Radiant,"Garage, Wall, Ceiling",,"Aluminum, Carbon Fiber, Metal",3,"Remote Control, Remote Control,Digital, Electronic",DR-238,120 V,"Portable, Ceiling/Wall Mountable, Thermostat, Remote Control, Indoor/Outdoor, Heater",,1500 W,,,,,,,,"DR-238, DR238",,35,,,,,,,,,0649661193395,Black,,,2019,,,,,,Infrared,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasko Electric Space Heater White Digital Display Tip-Over Safety Switch 1500-W,99.8,30-day returns,"[""I apologize for taking so long to rate your product but it has been great ever since I received it great use it's very quiet just like you said and I love it"", ""Very nice heater. Super quiet! I am using it in what was a screened-in lanai (remodeled into a 4-season sunroom). With all these windows it gets chilly in here at times, even though the room has central heat. This Lasko heater is just the thing to take the chill out of the room. I can't speak to its longevity, as I have only had it a few weeks, but it seems very well made."", 'My only reservation is it is a little on the large side, but it is working great so far.', 'Unit works well.No complaints.Have owned for 2 yearsComes in handy when the furnace sometimes breaks down. Or to take the chill off a basement bedroom.I Would buy again.But remember, it’s electric and the electric meter spins like a top', 'It works great and is silent other than the chirping to let you know the temp is increasing. I need another one. I highly recommend it.', 'I didn’t realize before purchase the top of the heater was metal. Was going to use for my kitchen but not with a toddler running around who could potentially touch and burn their hand. It’ll work best for my basement as I needed something for there too.', 'Sturdy build with great features. However, I wish it comes with a remote then this wold be perfect heater.', 'This was purchased to heat a room whose temperature varied greatly from night to day  It works perfectly, soundlessly, and draft free.  The temperature in the room stays steady at between 68 and 70 just what is needed to grow phalenopsis orchids.  We love it.', 'Ive Had it On 90 Degrees For TWO HoursLess Than THREE Feet In Back Of Me..... In A SMALL Office AreaThats My Shadow In The Photo.And I Felt NOTHING!', 'Thank you very much and have a great day.']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Lasko,Electric,"Electric Portable Heater, Baseboard Heater",Convection,Portable,,"Metal,Ceramic, Ceramic,Metal, Ceramic, Metal",1 Heat,"Switch, Switch,Digital, Digital, Electronic, Digital,Switch",5622,120 V,"Display, Handle, Timer, Digital Thermostat, 1500W, Thermostat,Timer, Auto-OFF!, Carrying Handle, Digital Thermostat, Display, Timer, Thermostat,Carrying Handle,Timer, Quartz, Adjustable Thermostat, Timer Included, Silent, Remote Control, Overheat Protection, Heater, Silent Operation, Silent,Portable, Handle,Digital Display,Nonslip BASE,Timer,Automatic Shutoff,Tip-Over Safety Switch,Thermostat, Indoor, Portable, Digital Display, Power Indicator, Heating, Tip-Over Safety Switch, Carrying Handle,Thermostat,Timer, Thermostat,Silent,1500 Watts,Auto-OFF!,Portable, Portable,Vent Free, Handle Thermostat Overload Protection Tip-Over Cut-OFF! Switch, Vent Free, for spot heating at home or office,this portable heater is the perfect solution,comes in white color is sure to beautify your room,electric heating - allows immediate relief from th,keep your bedroom comfortable with 1.50 kw heating, Timer Included, Portable,Silent Operation,Thermostat,Timer,Power Indicator,Remote Control,Overheat Protection,Vent Free, Automatic Shutoff,Digital Display,Nonslip BASE,Thermostat",,1500,,,,,,250 to 499 sq ft,5.5,5622,,,,,,,,,,0046013763297,0046013763297,White,8 Hours,,,,,,,,Ceramic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasko Electric Tower Space Heater Portable Digital Remote Control 1500-Watt,98.59,30-day returns,"['I purchased the Lasko 5397 oscillating heater for my mom several years ago +- 5 YEARS AGO. She uses it almost year round because she is always cold. She lives in San Fransisco and if you know anything about Mark Twain you know he said the coldest winter he ever spent was a summer in S.F. She called me and informed me that the  \t5397  was making funny noises and had a weird smell. I went over and discovered that it was shorting out. While in the off mode, the top of the unit was getting hotter than it does when it is in use. I took it out of the house and replaced it with the Lasko 5572. I purchased it only a few days ago but already I can tell she likes it even better. The 5397 comes on a pedestal stand. This one pivots at the floor. Because it pivots at the floor, the heat reaches down further on her legs thus she is happier. Don\'t be fooled by the photo, the heating element does NOT come all the way down to the floor but it does come down further then the previous oscillating heater. Both models work great and both have a remote control but this one edges out the other just by the fact that it has a ""longer"" heating element. I love the fact that even when on for 4 hours at the highest setting, if she accidentally bumps up against it or brushes up against it she won\'t burn herself like she would with one of those dish looking heaters. You can touch ANY PART of these ""Ceramic"" heaters (while they are operational and functioning) and NOT burn yourself.', 'I have used a wood furnace for 30 years, but now to old to handle the wood. I purchased the Lasko 5572 heater to see if I could use it to help heat my house. As I had 220 baseboard heaters installed knowing I must give up the wood heat. I was totally supprised with the Lasko heater, it not only helped the baseboard heater,it took the place of the 220 baseboard heater. I had origanly purchased one Lasko heater to try in one room. After the great job it did, I purchased three  more of them. I finished up the winter, heating with the Lasko heaters.  I would recommend them to anyone needing a heater. And If I have to replace any one of the heaters I have, it will be with a Lasko 5572 heater.HJ of Missouri', ""We were absolutely thrilled with the size and capability of this room heater.  It's a little taller than the other Lasko portable heater and our decision to get it was a good one. For our needs, this one is perfect. "", 'I really enjoy my heater.  I live in Arizona where it is getting cooler at night now.  It is very efficient and quiet.', 'Heats small area immediately in the morning, with an increase of 5-10 degrees in temperature within 15 minutes.  Easy to operate, with remote.  As usual: follow directions in the manufacturers manual for best results!', ""Wow, does this put out some heat, and like now..  Don't have to wait for anything to warm up  immediate heat..  2 modes low 900w and high 1500w..  Plus you can set it from 39 degrees to 90 degrees and to kick on automatically if room gets below set temp..  This can almost heat my whole house..  Will prob heat at least 3 rooms.Led readouts are bright and clear, fan, remote, oscillates, has real buttons, not plastic film that will wear out, and stands tall.  Has handle for easy moving.. With gas prices doubling this winter, I'm turning to a space heater so I can lower the thermostat.. "", 'great heater, used it all winter, no problems, good price, fast delivery', ""I don't have this exact model, but I have two similar Lesco 1500w heaters w/digital displays w/remotes.  I bought the second one because one of our tenants lost the remote.  One is #5165, the other one is #755320, the only complaint I have on this model is I had to stick a piece of foam tale on the top of the carrying slot in back so my finger wouldn't slip out of the carrying slot when carrying the heater.  The other heater's slot is angled so your fingers don't slip out.  The one remote does control either heater.  I recommended my satisfaction to a friend and he bought one and is happy with it.  I don't know his model #. I've had the first hater 5 yrs and the second one 2 yrs and both work great."", ""Great heater. Warms my garage better than expected. I'm not scared to leave it on all night unattended."", ""Dose everything it's said it could do""]","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Lasko,Electric,Tower Heater,Forced Air/Fan,Desk/Tabletop,,Ceramic,2 Heat,"Switch, Remote Control, Digital",Lasko 5572,120 V,"Timer, Oscillation",,1001-1500 W,,,,,,251-300 sq ft,9.2 in,5572,,,,,,,,,,0046013761491,0046013761491,"Silver, Gray, Black",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Master, Reddy Heater, Remington, Desa 098512-59 Combustion Chamber with HSI",99.0, , ,,Desa,"Diesel, Dual Fuel, Kerosene",Portable Heater,Forced Air/Fan,Floor,,Steel,,,Various models,120 V,,,,,,,,"150,000, 155,000 BTU",,"8""",098512-59,,,"18 1/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dreo Space Heater for Indoor Use, 1500W Fast Heating Ceramic Electric Heater wit",97.79,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Does not apply,Corded Electric,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07445010533590,7445010533590,Black,,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Forced Air & Convection,5.9 x 5.9 x 15.8 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Heater Sunrite Series Propane Tank Attachment,99.0, ,"[""Sips propane but because of the directional heat it doesn't need to go full blast to warm you. I borrowed a dual version during the Texas winter power outage, but only lit one side to save propane. It kept me very warm, so bought the single version for my own."", 'This compact heater really put out the heat. Bought this one to replace one that we borrowed during the freeze and extended power outage in Texas last winter. It kept our house livable.', 'We recently went camping with Boy Scouts and I brought the tank top Peter just in case. Thankfully I had it because the temperature dropped down to 32° that evening. That is very cold on the inside of a tent. I installed the tank top heater on top of the propane bottle and turned it on and it kept my family comfortable through the night. Very good product and I would recommend to anyone.', 'This is a good heater but one better be careful with it. Not a very well built item. It damages easy', 'This works great !  Just make sure you have plenty of propane.  Thank you very kindly.  ', 'I  have an Eskimo Farrish 949 hut this thing on low 9 degrees will heat you out on low . I love it !!!', 'It’s been extra cold in Texas this year. This little heater worked great in the shop. Five stars ', 'It arrived 3 days before scheduled and I had my man cave warming up in no time. Would recommend this for you stay warm man cave outside !!!!', 'Excellent product to take the chill off.', ""It's been hard to learn that you need to push a pin then light heater, but other than that its another China built product.""]","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Mr. Heater,"Electric, Gas, Propane",Portable Heater,Radiant,"Floor, Desk/Tabletop",,"Aluminum, Ceramic, Chrome, Steel",3,"Dial, Rotary Knob, Switch, Analog/Mechanical",MHS15T,Not Electric,Auto Shut-off,,,Radiant,Stainless Steel,85-90%,Quiet,14000-14999 BTU,251-300 sq ft,8 in,F242100,,6 in,9 in,11-20 gal (39-76 L),,,,,,,,Silver,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arlec 2400W Micathermic Heater - MTH11BK,128.4,30-day returns, ,New,Arlec,Electric,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MTH11BK,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"De'Longhi Digital 1500W Convection Panel Heater with Dual Fan, 16 lbs,White-Slim",97.69, , ,,De'Longhi,"Electric, Fan",Heater with Dual Fan,Convection,"Desk/Tabletop, Wall, Floor",,Steel,3,"Analog/Mechanical, Switch, Digital",HSX3315FTS,120 V,,,1001-1500 W,,,,,5000-5999 BTU,251-300 sq ft,,HSX3315FTS,,,,,,,,,,0044387133159,0044387133159,White,,,2020,,,3 inches,,,,,,HSX3315FTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slim Style,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EDISON Hedlite Vintage Electric Space Heater cast iron base STEAM PUNK, Rare",99.0, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",Heatmaster,Electric,,,,,Cast Iron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EdenPure GEN3 A4137 Space Heater Quartz Infrared Portable - TESTED & WORKS!,99.97, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",EdenPURE,Electric,Portable Heater,,Floor,,,,,A4137,120 V,,,900w,,,,,,,"11.5""",A4137,,,13.50,,,,,,,,827463107448,Black,,,,,,,,,Infrared,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"keroHeat  CV-2230 Portable Kerosene Heater, 22,300BTU, Good Condition",100.0, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",KeroHeat,Kerosene,Portable Heater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MINT! Dr. Infrared Heater DR-968 1500-watt Portable Space Heater FREE SHIPPING!,99.0, , ,,Dr. Infrared Heater,Electric,Portable Heater,Radiant,"Baseboard, Floor, Desk/Tabletop, Cabinet",,"Wood, Ceramic, Steel",2,"Remote Control, Push Button, Touch",DR-968,120 V,"Auto Shut-off, Timer",,1001-1500 W,Strip,Brass,,31-40 dB,,951-1000 sq ft,12.5 in.,DR-968,,,13 in.,,,,,,,,Does not apply,Multicolor,,,,,,Regular,,,Infrared,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EdenPure GEN3 Model A4137 Quartz Infrared Portable Heater Floor Space - 900W,98.0, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",EdenPURE,Electric,Portable Heater,Infrared,Floor,,,,Push Button,EdenPure GEN3,120 V,,,,,,,,,,,,,,,,,,,,,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dura Flame Tower Heater Model 5QI073ARA Tested No Remote , ,30-day returns, ,,Duraflame,Electric,Portable Heater,,Floor,,Wood,Variable,Digital,5QI073ARA,120 V,Oscillation,,1001-1500 W,,,,,,,,5QI073ARA,,,,,,,,,,,Does Not Apply,Brown,,,,,,,,,,,,,,,,China,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vintage Markel Automatic Electric Heater Metal Blue Works Great,95.98, , ,,Markel,Electric,Portable Heater,,,,,,,,120 V,,,,,,,,,,,,,,,,,,,,,,,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vintage Titan Electric Fan Forced Air Floor Heater UNTESTED AT MOMENT  ,99.99, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",Titan,Electric,Fan Forced Convection Heater,Forced Air/Fan,Floor,,Metal,5 or More,Switch,Titan T113,115 V,,,1250W,Coil,Steel,,,,,,,,,,,,,,,,,Does Not Apply,Gray,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cadet 240V Multi-Watt Register In-Wall Fab-Forced Electric Heater 673830,100.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Cadet,Electric,,,Wall,,,,,,240 V,,,,,,,,,,,673830,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Space Heater, 1500W Ceramic Tower Heaters Indoor Portable with Remote, Electric ",99.98, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Does not apply,Corded Electric,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0744110455748,744110455748,,,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Forced Air, Convection",7.48 x 6.29 x 21.65 inches,1500 Watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vornado VMH500 Auto Whole Room Heater Adjustable Thermostat with Remote White,95.0, , ,,Vornado,"Electric,Fan, Electric","Unit Heater, Fan Heater",Forced Air/Fan,"Floor, Desk/Tabletop, Whole Room",,Steel,2,"Push Button,Remote Control, Remote Control, Digital,Remote Control, Touch","Vornado EH1-0116-43, Vornado VMH500",120 V,"Digital Display, Portable, Thermostat, Auto Shut-off, Timer, Remote Control, Cool-Touch Exterior, LED, 2 led displays, Adjustable Thermostat, Vent Free",,"1500 W, 1001-1500 W",Coil,,N/A,Space Heater,5000-5999 BTU,251-300 sq ft,9.2 in,EH1-0116-43,,"9.38 in, 9.4 in",11.67 in,,,,,,,,0043765011799,White,"15 Minutes, 12 hrs",,,,,,,L 13.5 x W 10.79 x H 10.79 inches,"Fan, Compact",,,,,,,,,,,,,A++,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IR Replace Heater Element, 480V, 3.65 KW, Quartz Lamp Clear FOSTORIA",100.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Fostoria,Electric,,,,,Quartz,,,6303648,480 V,,,,,,,,,,,6303648 F3648H,,,,,,,,,,,,Clear,,,,,,,,,Infrared,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
